Timestamp,Open_spot,High_spot,Low_spot,Close_spot,Volume,MA120,Open_futures,High_futures,Low_futures,Close_futures,Funding Rate
2020-08-11 08:00:00,11892.9,11935.0,11705.0,11748.05,19923.693054,9347.65875,11785.0,11785.0,11735.0,11751.4,0.0001
2020-08-11 16:00:00,11748.05,11768.81,11372.0,11480.79,35452.332046,9347.65875,11752.2,11780.2,11350.9,11484.5,0.0001
2020-08-12 00:00:00,11480.78,11559.97,11125.0,11392.08,35372.259534,9347.65875,11484.4,11551.7,11125.5,11393.5,0.0001
2020-08-12 08:00:00,11392.09,11476.41,11150.0,11446.91,23183.009506,9386.789,11393.9,11479.2,11122.6,11449.7,1.003e-05
2020-08-12 16:00:00,11446.91,11617.52,11419.99,11581.45,24940.965877,9386.789,11447.4,11628.3,11427.4,11588.5,0.0001
2020-08-13 00:00:00,11581.54,11615.0,11470.0,11564.33,16785.638261,9386.789,11588.6,11621.1,11486.1,11580.6,0.00013233
2020-08-13 08:00:00,11564.34,11656.99,11490.52,11513.43,17527.119766,9429.778666666669,11581.6,11676.2,11511.7,11530.8,0.0001
2020-08-13 16:00:00,11513.43,11622.1,11270.36,11499.78,29019.246018,9429.778666666669,11528.6,11631.6,11278.9,11505.7,0.0001
2020-08-14 00:00:00,11499.79,11792.96,11442.34,11780.0,23586.125718,9429.778666666669,11507.0,11808.1,11451.2,11795.6,0.0001
2020-08-14 08:00:00,11779.77,11828.0,11634.03,11696.98,19722.25852,9468.600333333334,11796.7,11854.7,11663.0,11731.4,0.0001
2020-08-14 16:00:00,11697.36,11774.99,11635.02,11740.35,20851.431197,9468.600333333334,11730.8,11797.8,11652.7,11759.0,0.0001
2020-08-15 00:00:00,11740.35,11850.0,11701.0,11760.54,19245.16298,9468.600333333334,11759.0,11873.8,11718.3,11777.1,0.0001
2020-08-15 08:00:00,11760.55,11980.0,11759.69,11891.32,19077.676387,9508.807416666668,11781.1,11999.8,11781.1,11914.3,0.00021888
2020-08-15 16:00:00,11891.32,11934.55,11680.0,11851.99,20275.12637,9508.807416666668,11915.1,11960.7,11689.5,11862.8,0.00012449
2020-08-16 00:00:00,11851.98,11977.0,11745.0,11852.4,16885.102293,9508.807416666668,11862.5,11992.4,11750.0,11867.8,0.0001
2020-08-16 08:00:00,11852.4,11931.72,11768.78,11858.89,12010.867537,9547.66075,11868.5,11952.9,11784.8,11880.1,0.0006188
