Timestamp,Open_spot,High_spot,Low_spot,Close_spot,MA120,Open_futures,High_futures,Low_futures,Close_futures,Funding Rate
2018-11-15 08:00:00,5917.2,5939.54,5628.27,5760.94,6711.681083333333,5601.5,5638.0,5478.0,5573.0,-0.00029877
2018-11-15 16:00:00,5763.48,5787.35,5403.42,5675.12,6711.681083333333,5573.0,5621.0,5186.5,5456.5,0.0001
2018-11-16 00:00:00,5675.13,5766.52,5561.0,5753.4,6711.681083333333,5456.5,5579.5,5353.0,5579.0,0.0001
2018-11-16 08:00:00,5757.09,5782.89,5634.0,5641.8,6696.595499999999,5579.0,5610.0,5496.5,5505.5,-0.00022233
2018-11-16 16:00:00,5641.8,5699.0,5560.05,5645.62,6696.595499999999,5505.5,5569.5,5458.5,5532.0,0.0001
2018-11-17 00:00:00,5645.63,5694.97,5549.25,5655.94,6696.595499999999,5532.0,5556.5,5406.5,5509.5,-9.454e-05
2018-11-17 08:00:00,5650.57,5654.64,5565.43,5638.06,6682.351833333333,5509.5,5512.5,5451.0,5505.5,0.0001
2018-11-17 16:00:00,5638.64,5639.87,5571.0,5600.38,6682.351833333333,5505.5,5507.5,5460.0,5478.0,0.0001
2018-11-18 00:00:00,5600.6,5656.6,5588.89,5628.29,6682.351833333333,5478.0,5554.5,5468.0,5501.5,-3.927e-05
2018-11-18 08:00:00,5630.49,5688.84,5626.07,5660.59,6667.878666666667,5501.5,5555.5,5501.5,5527.5,0.0001
2018-11-18 16:00:00,5661.58,5663.29,5617.0,5641.09,6667.878666666667,5527.5,5529.5,5505.0,5529.0,0.0001
2018-11-19 00:00:00,5642.38,5738.17,5622.9,5662.0,6667.878666666667,5529.0,5669.0,5515.0,5556.0,-1.488e-05
2018-11-19 08:00:00,5661.94,5664.0,5400.0,5467.52,6647.172333333334,5556.0,5579.0,5370.5,5385.0,0.0001
2018-11-19 16:00:00,5467.52,5467.56,5150.0,5203.16,6647.172333333334,5385.0,5386.0,5043.5,5122.5,0.00011867
2018-11-20 00:00:00,5203.13,5230.0,4855.0,4910.03,6647.172333333334,5122.5,5136.0,4671.5,4736.5,0.0001
2018-11-20 08:00:00,4913.4,5048.24,4600.0,4671.19,6620.821083333333,4736.5,4890.0,4475.5,4568.0,0.0001
2018-11-20 16:00:00,4675.0,4954.99,4405.0,4952.05,6620.821083333333,4568.0,4850.0,4198.5,4718.0,0.0001
2018-11-21 00:00:00,4954.98,4977.97,4326.0,4558.86,6620.821083333333,4718.0,4759.0,4028.5,4360.0,0.0001
2018-11-21 08:00:00,4559.91,4700.0,4413.85,4653.78,6589.686333333333,4360.0,4483.5,4235.0,4478.5,-0.00119468
2018-11-21 16:00:00,4655.33,4787.2,4521.83,4632.87,6589.686333333333,4478.5,4672.0,4375.5,4513.5,0.0001
2018-11-22 00:00:00,4631.79,4699.2,4469.84,4661.07,6589.686333333333,4513.5,4568.5,4328.0,4535.5,0.0001
2018-11-22 08:00:00,4661.08,4721.77,4592.0,4630.02,6557.972666666667,4535.5,4587.5,4477.5,4516.5,0.0001
2018-11-22 16:00:00,4629.03,4644.0,4470.0,4562.43,6557.972666666667,4516.5,4529.5,4365.0,4448.0,8.094e-05
2018-11-23 00:00:00,4562.36,4580.0,4335.0,4370.0,6557.972666666667,4448.0,4482.5,4241.5,4262.5,0.0001
2018-11-23 08:00:00,4370.9,4450.73,4222.94,4355.08,6528.811083333333,4262.5,4317.0,4073.0,4222.0,0.0001
2018-11-23 16:00:00,4355.52,4484.0,4345.01,4404.99,6528.811083333333,4222.0,4371.0,4218.5,4270.0,4.81e-05
2018-11-24 00:00:00,4406.89,4470.0,4293.0,4420.61,6528.811083333333,4270.0,4336.5,4169.5,4290.0,0.0001
2018-11-24 08:00:00,4415.63,4527.0,4356.5,4389.04,6493.343333333334,4290.0,4373.5,4238.0,4265.0,0.0001
2018-11-24 16:00:00,4389.01,4450.0,4338.0,4372.02,6493.343333333334,4265.0,4311.5,4207.5,4230.0,0.0001
2018-11-25 00:00:00,4372.9,4373.21,3824.69,3932.44,6493.343333333334,4230.0,4230.0,3641.0,3780.5,0.0001
2018-11-25 08:00:00,3933.68,3978.0,3734.72,3866.78,6458.8495,3780.5,3807.0,3580.5,3706.5,-0.00360206
2018-11-25 16:00:00,3866.78,4038.09,3652.66,3880.0,6458.8495,3706.5,3931.5,3441.0,3732.0,-0.00146554
2018-11-26 00:00:00,3881.62,4233.0,3811.0,4085.78,6458.8495,3732.0,4115.5,3635.0,3935.0,0.0001
2018-11-26 08:00:00,4088.69,4206.0,4028.42,4085.81,6422.6095000000005,3935.0,4077.0,3894.0,3966.0,0.0001
2018-11-26 16:00:00,4085.81,4096.38,3822.0,3834.16,6422.6095000000005,3966.0,3978.5,3675.5,3675.5,0.0001
2018-11-27 00:00:00,3837.32,3987.0,3701.0,3862.2,6422.6095000000005,3675.5,3864.0,3502.0,3723.5,2.522e-05
2018-11-27 08:00:00,3864.45,3920.0,3765.76,3849.54,6386.786916666666,3723.5,3797.5,3635.5,3735.0,-0.00375
2018-11-27 16:00:00,3849.82,3860.0,3689.12,3779.4,6386.786916666666,3735.0,3748.0,3565.0,3663.5,0.0001
2018-11-28 00:00:00,3779.06,3940.0,3750.0,3875.21,6386.786916666666,3663.5,3828.0,3636.0,3771.5,-1.83e-06
2018-11-28 08:00:00,3875.63,4150.0,3874.27,4106.8,6357.902916666668,3771.5,4069.0,3769.5,4021.0,0.0001
2018-11-28 16:00:00,4106.3,4294.3,4019.85,4249.82,6357.902916666668,4021.0,4231.0,3954.0,4184.0,0.0001
2018-11-29 00:00:00,4249.81,4394.47,4180.21,4264.85,6357.902916666668,4184.0,4354.0,4121.5,4218.5,-0.00037956
2018-11-29 08:00:00,4262.06,4294.0,4125.65,4212.71,6330.330083333333,4218.5,4248.0,4089.0,4159.0,-0.00070757
2018-11-29 16:00:00,4214.87,4450.38,4190.0,4271.13,6330.330083333333,4159.0,4393.0,4149.0,4237.0,0.0001
2018-11-30 00:00:00,4271.69,4395.0,4170.22,4295.84,6330.330083333333,4237.0,4307.0,4101.0,4230.0,5.695e-05
2018-11-30 08:00:00,4295.72,4341.36,4201.11,4223.27,6301.2935,4230.0,4297.0,4138.5,4157.0,-1.844e-05
2018-11-30 16:00:00,4223.37,4255.27,3943.0,4027.38,6301.2935,4157.0,4196.0,3819.5,3965.5,0.0001
2018-12-01 00:00:00,4028.81,4096.14,3951.0,4041.32,6301.2935,3965.5,4017.5,3870.0,3975.5,-7.605e-05
2018-12-01 08:00:00,4041.27,4063.4,3963.01,3997.8,6274.387166666666,3975.5,3976.0,3820.0,3943.5,2.112e-05
2018-12-01 16:00:00,3997.78,4233.0,3997.77,4219.0,6274.387166666666,3943.5,4184.5,3941.0,4171.5,0.0001
2018-12-02 00:00:00,4219.0,4299.99,4175.0,4190.02,6274.387166666666,4171.5,4261.5,4121.5,4136.5,-0.00375
2018-12-02 08:00:00,4190.98,4312.99,4120.0,4179.93,6250.646916666667,4136.5,4266.5,4040.5,4108.5,0.0005851
2018-12-02 16:00:00,4180.01,4245.0,4103.04,4174.79,6250.646916666667,4108.5,4185.5,4027.0,4107.0,0.0001
2018-12-03 00:00:00,4174.77,4268.0,4129.0,4161.01,6250.646916666667,4107.0,4183.0,4062.0,4107.0,6.544e-05
2018-12-03 08:00:00,4160.55,4179.0,3982.0,4032.76,6224.47875,4107.0,4115.5,3898.0,3960.5,0.0001
2018-12-03 16:00:00,4032.76,4068.0,3856.05,3882.86,6224.47875,3960.5,4016.5,3785.0,3815.5,0.0001
2018-12-04 00:00:00,3882.82,3944.29,3827.0,3884.01,6224.47875,3815.5,3879.5,3731.5,3831.5,1.531e-05
2018-12-04 08:00:00,3884.76,4033.0,3781.0,4027.64,6199.618916666667,3831.5,3975.5,3734.0,3973.0,-2.5e-06
